review,Recommended IND
আবারও প্রচুর চার ছক্কা আর বাম হাতে ক্যালমা দেখাতে হবে প্রচুর খেলতে হবে ক্রিকেটের রাজপুত্র শুভ কামনা,excited
সেই চিরচেনা সাকিবকে আমরা দেখতে চাই শুভ কামনা রইলো ভাইজান,excited
যদিও সময়টা ব্যর্থতায় ভরা তবুও আমার গল্পে তুমিই সেরা,happy
যদিও আপনার সময়টা এখন ব্যর্থতায় আর সমালোচনায় ঘেরা তবুও আমার ক্রিকেট গল্পে আপনি সেরা ভাই,happy
আগের রূপে ফেরা এখন কেবল সময়ের ব্যাপার,excited
খুলনা স্টারে ভরা কিন্তু পারফর্ম খুব খারাপ আশাকরি সামনের ম্যাচগুলো ভালো খেলবে,sad
আমরা আশাবাদী শিরোপা জয়ের যোগ্যতা এই দলের আছে শুধু ছন্দে ফেরা প্রয়োজন শুভ কামনা,excited
আগের ম্যাচে কেমন উজাড় করসিলেন তা তো দেখলামই,angry
বলিং এর পাশাপাশি আপনার ব্যাটিংটা দেখতে অপেক্ষায় আছি আশা করি খুব দ্রুত আপনার ফর্মে ফিরে আসবেন শুভকামনা খুলনা,excited
খুব শীঘ্রই সাকিব আল হাসান তার আসল রূপে ফিরে আসবেনইনশাআল্লাহ,excited
এই দেশের এ যাবত কালের সবচেয়ে প্রতিভাবান খেলোয়াড় সাকিব আল হাসান শুভকামনা রইল আগামীর জন্য,happy
আপনার সেই চিরোচেনা রূপটায় ফিরে আসুন ২২ গজের সবুজ গালিচায় শুভ কামনা সাকিব্বাই,happy
আপসেট হবার কিছু নেই খুব তাড়াতাড়ি ফার্মে ফিরবেন ইনশাআল্লাহ,excited
আপনার চির চেনা ব্যাটিং দেখার অপেক্ষায় আছি ভাইজান,excited
অনেকদিন যাবত তোমার সেঞ্চুরি দেখিনা আশাকরি আগামী ম্যাচে তা পূর্ণ করবা,excited
খেলায় ফিরে আসার জন্য এই টুর্নামেন্ট একটা বড় সুযোগশুভ কামনা সাকিবআশা করছি অতি দ্রুত খেলায় ফিরে আসবেন,excited
আপনার পারফরম্যান্সে হতাশ ভাই,sad
শুভকামনা জনাব ইনশাআল্লাহ খুব শীঘ্রই রানে ফিরবেন,excited
খুলনা দল ছিলো আগুন কিন্তু সেই আগুনে নিজেরাই পুড়ে শেষ,sad
ঢাকার প্রতি এতো খেপেছেন কেন দলে নেয়নি সে জন্য,angry
আপনের দিকে তাকিয়ে আছি কবে আপনের ব্যাটে রান আসবেআশা করি সামনে ভালো কিছু দেখবো,excited
তা ঠিক আছে ঢাকা ত আপনার সাথে সম্পর্ক রাখে নাইপ্রথম ডাক পেয়েও আপনাকে নেয় নাই,sad
সবধরনের টি টোয়েন্টি তে ৫ হাজার রানের মাইলফলক স্পর্শ করলেন বিশ্বসেরা অলরাউন্ডার সাকিব আল হাসান অভিনন্দন মিঃ অলরাউন্ডার,happy
সাকিবের ছবির এতই অভাব হয়ে গেল যে বাংলাদেশ জাতীয় দলে জার্সির সামনের দিক গোলা করে দিতে হলো এত বাজে গ্রাফিক্স,angry
আগে সাকিবের চুল গুলা কাটা দরকার এই চুলগুলো দেখলে ভিষণ বিরক্ত লাগে,angry
১ বছর বিদেশে থাকার পর দেশের পিচের কন্ডিশন ভুলে গেছেন সাকিব ভাই আপনারা কিছু মনে কইরেন না,sad
তুমি বরং বাবা কলকাতায় গিয়ে পুজো উদ্বোধন করো এখানে কি করছ,religious
বিশ্বকাপের সেই সাকিব ভাইকে চাই আশা করি খুব দ্রুতই রানে ফিরবেন ইনশাআল্লাহ,excited
সাকিবের স্বরূপে প্রত্যাবর্তনের অপেক্ষায় আমরা,excited
খুলনার এত অধঃপতন কেন টপঅর্ডার কোন রানই পাচ্ছেনা৷,angry
ব্যবসা শেষ মাম্মা এভাবে চলতে থাকলে আইপিএল দূরের কথা নেপাল লীগেও ডাকবে নাবসে বসে বাল গুনতে হবে,abusive
ইতিমধ্যে পরাজিত হওয়ার জোরালো সম্ভাবনা তৈরি হয়েছে,sad
মনেহয় আপনার উপর কালি মাতার অভিশাপ লেগে গেছে বলেআগের মতো ধার নেই আরব্যাটিং পুনরায় আরো একটি পূজা মণ্ডপ উদ্বোধন করেন,religious
রাজশাহী সর্বোচ্চটা দিয়ে জিতবে আশরাফুল ভাই আছে বলেই সাপোর্টে করছি রাজশাহী কে শুভকামনা রইল আশরাফুল ভাইয়ের জন্য,excited
সারা বিশ্বে আলোড়ন সৃষ্টিকারী খেলোয়াড় আমাদের সাকিব ভাই,happy
ভাই আপনি মাঠে ফিল্ডিং করছেন পোস্ট করলেন কেমনে,surprised
সাকিবালের কাহিনী বিসিবি না বুঝলেও অস্ট্রেলিয়া বোর্ড বুঝসে তাই বিগ ব্যাশে নেয় নাইটাকার জন্য সাকিবাল সব করতে পারে,abusive
ভালবাসা ও শুভ কামনা রইলো বিশ্বসেরা অলরাউন্ডার সাকিব আল হাসান ও তার দলজেমকন খুলনার জন্যে,happy
ভাই আমার একটা প্রশ্ন লম্বা চুলের রহস্য কী,excited
আচ্ছা মাঠে খেলার সময় পোস্ট করলো কেমনে,surprised
এইটার শিডিউলিংটা ভুল করসে সোশাল মিডিয়া ম্যানেজার ভালো কাউকে নিয়োগ দেন,angry
সারাবিশ্বের আলোড়ন সৃষ্টি কারী খেলোয়াড় আমাদের সাকিব ভাই,happy
আজকে ও সাকিব ভাই খারাপ ব্যাটিং করছে ইনশাআল্লাহ ভাল বোলিং করবে,sad
জন্য লাখ ভক্তের ভালবাসা আর দোয়া আছেইনশাআল্লাহ আশরাফুল ভাই জিতেছে জিতবেলাভ ইউ,excited
মাথার রেডি আজকেও সেইম ভাবে আউট,angry
যা আশা করি তা কিন্তুু কোন ভাবেই হচ্ছে না,sad
তুমি সাকিব আর আগের সাকিব নেই আস্তিক থেকে নাস্তিক,religious
ভাই অনূর্ধ্ব দলের খেলোয়াড়দের কাছ থেকে আপনার শিক্ষা নেওয়া উচিত কিভাবে খেলতে হয় ক্রিকেট,angry
একমিনিট দারান আপ্নিতো খেলছেন তাহলে পোস্ট দিলো কে,surprised
আমরা যেমন কলেজে গিয়ে ফেসবুক চালাই তুমিও দেখছি তেমনটামাঠে খেলতেছো অথচ পোষ্ট আসলো পেজ থেকে,surprised
আশা করি তুমি একদিন সাবাই কে ছারিয়ে যাবে,excited
শুভ কামনাআগের ছন্দে ফিরে আসুন এই কামনা করি,excited
এবার আরিফুল ও বাঁচাতে পারলো না রাজশাহী এর কাছে হারতেই হলো,sad
এভাবেই একদিন পৃথিবী ছেড়ে সবাইকে চলে যেতে হবে,sad
লিজেন্ডারি ফুটবলার দিয়েগো মেরাডোনার মৃত্যুতে আমরা শোকাহত,sad
ম্যারাডোনার মৃত্যুতে ৩দিনের রাষ্ট্রীয় শোক ঘোষণা করেছে আর্জেন্টিনা,sad
ফুটবলের বরপুত্র চলে গেলো কিংবদন্তীরা প্রস্থান করেন শুধু তাদের কীর্তি পৃথিবীতে তাদের অমর করে রাখে বিদায় লিজেন্ড,sad
ফুটবল কিংবদন্তি দিয়াগো ম্যারাডোনার মৃত্যুতে আমরা গভীর ভাবে শোকাহত শোকান্তে সাউদার্ন মেডিকেল ফুটবল ক্লাব,sad
আহা এত তাড়াতাড়ি কেন চলে যেতে হলো আমাদের হৃদয়ে তিনি থাকবেন অমর হয়ে,sad
পৃথিবীতে অনেক ফুটবলার আসবে যাবে কিন্তু ম্যারাডোনা একজনই,happy
মুহাম্মদসা এর ইজ্জতের উপর আঘাত হলে তখন এরা চুপআর এখন ম্যারাডোনা মারা যাবার পর রিপ,angry
ফুটবল জগতের মহা নায়ক এর চিরবিদায়,sad
ফুটবল বিশ্বে শোকের ছায়া আত্মার শান্তি কামনা করছি,sad
কোটি ভক্তদের কাঁদিয়ে না ফেরার দেশে চলে গেলেন ফুটবলের কিংবদন্তী দিয়াগো ম্যারাডনা আমরা ভক্তরা গভীরভাবে শোকাহত,sad
কিছু উজবুক এখানে ধর্ম জান্নাত জাহান্নাম মারাইতে আসছে এদের পাছায় এত কারেন্ট কই থাইক্কা আসে,abusive
কোন অমুসলিমের মৃত্যুতে বলাটা অযোক্তিক তাই পরবর্তীতে এসব বলা থেকে বিরত থাকবেন,religious
কিছু জান্নাতের টিকিটধারী আসবে ফতোয়া দেয়ার জন্য তাদের কমেন্ট দেখার জন্য ফ দিয়ে গেলাম,religious
আরও একজন কিংবদন্তিকে হারিয়ে ফেললাম এই ২০২০ সাল কি এভাবেই সবাইকে নিয়ে যাবে,sad
৬০ বছর কিন্তু কম সময় নয় বেচারা এ দীর্ঘ হায়াতে নিজের রবকে চিনলনা,sad
আমার প্রিয় প্লেয়ার মেহেদি মিরাজকে এইভাবে কষ্ট দিয়ে জয় পাওয়াটা মেনে নিতে পারছিনা বয়কট আরিফুল,sad
সাকিব চুল রেখেছে আবার ব্যান্ট লাগাইছে তার উপর রাসূলের সুন্নত দাড়ি কেটে ফেললো৷ খুবই কষ্ট লাগলো৷,sad
সাকিবের প্রত্যাবর্তনের ম্যাচ বলে কথা অবিশ্বাস্যদূর্দান্তদূর্দমনীয় সাকিবকে আরিফুলের উপহার,happy
সাকিব ভাইয়ের দুইটা শট দেখে মনে এত শান্তি লেগেছে৷ অফ ড্রাইভটা ১ বছরের যন্ত্রণা দূর করে দিয়েছে,happy
৪০৮ দিন পর মাঠে ফিরে অসাধারণ পারফরম্যান্স,happy
মহারাজ তার জয়ের নিশানাটা নিজ ধরনে উড়িয়েছে স্বাগতম নবাব লাভ ফর আরিফুল হক বেস্ট উইশ,happy
লাস্ট ওভারে চমক দেখিয়েছে চমক,happy
ব্যাটিংটায় চেয়েছিলাম অারো ভালো কিছু সময় দিতে পারলে হতো৷ ইনশাআল্লাহ পরের ম্যাচে করে দেখাবেন,excited
খেলাটা দেখে অনেক মজা পাইছি সাকিব ভাই থেকে কম রানের আশা করি নাইসামনের ম্যাচ গুলো ভাল করবে ইনশাআল্লাহ,happy
তামিমের বাজে অধিনায়কত্বের কারনে খুলনা জিতলো,angry
প্রানের টিম খুলনা উইন জয় দিয়েই শুরু সাকিবের শুভ হোক সামনের পথ চলা,happy
ভালো করবেন ইনশাল্লাহ সকল সমালোচনার জবাব ভালো খেলার মাধ্যমে দেবেন প্লিজ শুভ কামনা আপনার জন্য,happy
ক্রিকেটীয় জীবনের সেকেন্ড ইনিংসের জন্য শুভকামনা,happy
চেয়ে থাকবো প্রিয় ক্রিকেটার সাকিব আল হাসানের দিকে,excited
দীর্ঘ ১বছর ক্রিকেট খেলা না দেখছি বল্লেও চলে কালকে মাঠে নামবে প্রিয় সাকিব অপেক্ষা রইলাম প্রিয় সাকিবের খেলা দেখার,excited
দীর্ঘ অপেক্ষার পর দেখবো মাঠে যদিও লালসবুজ জার্সিতে দেখার জন্য মুখিয়ে ছিলাম,excited
ম্যাচে দেখার চেয়ে বেশি মাঠে আপনাকে দেখার জন্য টিভির সামনে দাড়িয়ে থাকব,excited
ভুল হবেইসমালোচনা হবেইসেটাকে শুধরিয়ে দৃড় মনোবল নিয়ে সাফল্য অর্জন করাই লিজেন্ডের কাজশুভকামনা রইল,happy
এখন শুধু আপনার ব্যাট হাতে রানের আর বল হাতে উইকেটের চমকের অপেক্ষায় ইনশাআল্লাহ সেরা টা দিবেন নিশ্চয়ই,excited
বরিশালের সাপোর্টার কিন্তু আপনার জন্য সবসময়ই শুভকামনা ও ভালোবাসা রইলো আপনাকে মাঠে দেখার অপেক্ষাটা যেন আর সহ্য হইতেছে না,excited
দোয়া করি আগের মত যেন সবকিছু ঠিকঠাক থাকে শুভ কামনা রইলো ভাইয়া,happy
আমরাও প্রস্তুত বস্ এর খেলা দেখার জন্য,excited
আজ আমার অপেক্ষার প্রহর শেষ হচ্ছেগতবছর থেকে এই দিনের অপেক্ষা করেছি শুধু সাকিবের খেলা দেখবো বলেই,excited
নবাবের রাজকীয় প্রত্যাবর্তনের অপেক্ষায় কোটি ক্রিকেটপ্রেমী৷ শুভকামনা রইল বস৷,excited
সবার আগে আপনার ভালো পারফরম্যান্স চাই তারপর আপনার দলেরঅনেক অনেক শুভ কামনা নবাব,happy
সাকিবের সফলতা দেখতে জাতি উদগ্রীব ক্ষমা চাওয়ার জন্য আপনাকে ধন্যবাদ,excited
শেষ হইলো অপেক্ষার প্রহর অনেক শুভ কামনা,happy
মাঠ না এক বছর থেকে অপেক্ষায় আছি,excited
এক সময় সচিন এর খেলা উপভোগ করতাম এখন সাকিবের জন্য অপেক্ষা করি,excited
ধন্যবাদ ফিরে আসার জন্যআপনি আমাদের গর্ব,happy
ভাই অন্তরের অন্তঃস্থল থেকে দোয়া এবং শুভকামনা রইলো,happy
সামনের দিনগুলির জন্য শুভ কামনা আল্লাহ্ তোমাদের মঙ্গল করুকআমিন,happy
আপনার আগামী দিন শুভ হোক এগিয়ে যান নিজেকে ইসলামের আলোয় আলোকিত করে,happy
সামনের বিশ্ব দেখবে ব্যাটিংয়ে একজন ডন ব্র্যাডমান আর বোলিংয়ে একজন মুরালিধরনের প্যাকেজসেই প্রত্যাশাই রইলোশুভকামনা,excited
এই দুইজনকেই আজীবন নিষিদ্ধ করা হোককারা কারা একমত,angry
২৪ তারিখের জন্য শুভ কামনা ভাই,happy
অপেক্ষার আর মাত্র চার দিন বঙ্গবন্ধু টি২০ কাপের মাধ্যমে আবারো মাঠে দেখবো বিশ্বসেরা অলরাউন্ডার সাকিব আল হাসানকে,excited
একজন নিরহংকারী মানুষ যার হৃদয়ে বিন্দুমাত্র অহংকার নাই আমাদের সাকিব্বাই,happy
এসব ছবি দিয়ে লাভ নাই অবস্থান পায়ের নিচে চলো গেছো,angry
কর্পোরেট টিটুয়ান্টি লীগের জন্য অনেক অনেক শুভকামনা রইলো প্রিয় খুলনা কে চ্যাম্পিয়ন হিসেবে দেখতে চাই,excited
ভালো করে নিজেকে তৈরি করুন শুভকামনা রইল,happy
এখন আর আগের মতো ভালো লাগেনা তবুও দেশের জন্য মন উজাড় করে যেন খেলতে পারো এটাই চাই,sad
নাইচ ব্রাদাররা অনেক শুভ কামনা রইল,happy
বাংলাদেশ ক্রিকেটে দুইজনই প্রিয় ক্রিকেটার,happy
তুমি কোটি মানুষের অন্তরে রবে চিরকাল,happy
এখানেও এসে কিছু ব্যাক্তি উপদেশ দিতে শুরু করবে যতসব নেকামি এই জাতি,angry
আজ কেউ নেই বলে এমন ক্যাপশন দিতে পারি নাহ,sad
এতটুকু সবজি জন খাইবেন ক্যামতে ভাই,surprised
বাংলার জান বাংলার প্রান সাকিব আল হাসান ভালোবাসা ছিলভালোবাসা আছেভালোবাসা থাকবে এগিয়ে যাও,happy
ভাবীর চশমার ফ্রেমটা সুন্দর কই থেকে কিনছে,happy
এইটুকু তরকারি দুইজন খান কিভাবে ভাই,excited
আমি হইলে তোমারে এক ডিশ রাইন্দা দিতামবুঝলা না সাকিব,sad
ভাবীকে আগে এর স্বাদ নিতে দিয়েন তার মুখের এক্সপ্রেশন দেখে সন্তোষজনক মনে হলে তারপর আপনি স্বাদ নিয়েন প্লিজ,abusive
এতোটুকু বিফ তো আমার একারই হবে না আপনারা সবাই কিভাবে খাবেন,surprised
এতগুলো গোস্ত কয়শ মানুষ খাবে,surprised
পরিমানের খুবই অল্পরে ভাইআমার একার জন্য যথেষ্ট নয়,sad
এতো মুরগির আহার খাবার টেষ্ট করতেই এর চেয়ে বেশি লাগে এটুকু খেয়ে বেচে থাকেন কিভাবে,surprised
এডি কি মাইনষে খায় এতো কম কেন,angry
এইটা দেখেই তো আমার রাতের খাবার খাওয়ার রুচি নষ্ট হয়ে গেলোএইটা কেমনে ইয়াম্মি হয় শুনি,angry
দুনিয়ার কুৎসিত কালো ব্যাক্তিটা যদি আমলদার হয় কিয়মাতের ময়দানে তার চেহারা সুন্দর্য দেখে বেআমলরা আফসোস করবে,sad
ইদানিং যা একটা কাজ করলেন সাকিব ভাই মুসলিম সমাজে আপনাকে নিয়ে অনেক বাজে ধারণা সৃষ্টি হয়েছে,sad
১৮ কোটি মানুষের ভালোবাসার মানুষ সাকিব আল হাসান,happy
সাত মিনিট সেকেন্ড আলোচনা শুনে এমবি নষ্ট হইছে৷ এমবি ফেরত চাই৷,angry
এখন একদল লোক এসে বলবে সাকিব নির্দোষ শয়তান তাকে দিয়ে পুজো উদ্বোধন করিয়েছে,religious
শ্রী সাকিব আপনি খেলায় এবং ধর্ম পালনেও অলরাউন্ডার,religious
আম পাতা জোড়া জোড়া সাকিব ভাই বিচি ছাড়া,abusive
হাজি সেলিম যেমন হাজি নয় তেমনি দাড়ি রেখে হাজ্জ করা সাকিব হাজি নয়,religious
মন্ডবে ফিতা যে কাটছিলেন ভিডিও তে গোটা জাতী দেখেছে শাক দিয়ে মাছ ঢেকে লাভ নাই ঠেলার নাম বাবাজি,religious
পূজো উদ্বোধন না করলে কি কাজে গেলেন ফিতা কাটলেন কিসের,religious
নিখাদ মানুষ হয়ে নিম্নমানের অনলাইন শফিং মলের বিজ্ঞাপনে আপনাকে মানায়নিএরা সীমাহীন প্রতারণা করে যাচ্ছে,angry
এটা নিশ্চিত প্রতারনার একটা ধান্দাকিন্তু আপনার মুখে এটি শোভা পায়না আপনার থেকে ভালো কিছুর উপদেশ এবং নির্দেশনার অপেক্ষায় আছি,angry
